claim_id,report_section,claim,artifact_path,exact_locator,collection_time_utc,sha256,proves,does_not_prove,confidence,alternative_considered,disposition
C-011,Rollback,"The baseline login banner was recovered from the host, not from the current package.",before/banner-provenance.txt,comparison of 9.3 host content against rocky-release 9.8 package content,2026-08-19T01:54:14Z,b460381cff5903070dc407be10b8f443348215b7ab41df0db7121bc1728b6fe2,"The two sources disagree, and the host state was used.","Does not prove the check-mode diff captured the file perfectly, though it was read by Ansible from the live file.",high,The newer package could be considered authoritative.,Weakened: the package differs from what this 9.3 host actually carried.
C-012,Delta,The post-hardening scan recorded 86 failed and 174 passed rules with zero errors.,after/oscap-results.xml,"rule-result elements, result values fail and pass",2026-08-19T09:20:07Z,cdd3916acdef7addf6bceea5978df2a2bf582b0e43f6ec7b49985ffed775eeed,The security posture after the eleven remediations were applied.,Does not prove compliance or certification.,high,A different scan configuration would invalidate the comparison.,"Retained: identical data stream, profile and command as the baseline scan."
C-013,Delta,Fifteen rules moved from fail to pass with zero regressions.,after/delta-reconciliation.txt,FIXED and REGRESSIONS sections,2026-08-19T09:24:37Z,657d82799e246de61849fb01fbc4731828a0a1a1393199e015db07067dbdeb0d,"The measurable effect of the hardening role, rule by rule.",Does not prove the remaining 86 failures are acceptable; two carry documented dispositions and 84 are out of scope.,high,Rules could have moved for reasons unrelated to the role.,Retained: every fixed rule maps to a designed remediation in lab/remediations.yml.
C-014,Delta,Lynis independently moved from 66 to 70 after remediation.,after/lynis-report.dat,hardening_index=70,2026-08-19T09:16:32Z,d4c38927824b9b28ba04fbd1db2dc2e66ea977f21c7864df5a1484f002d67152,A second tool corroborates the measured improvement.,Does not prove the size of the improvement is significant.,medium,The index could move for unrelated reasons.,Retained as corroboration only.
C-015,Idempotence,"The unattended lifecycle passed all eight stages, with the second apply reporting changed=0.",idempotence.log,STAGE 3/8 recap and LIFECYCLE RESULT line,2026-08-19T10:21:59Z,ba251c7a6dcded311c93355bca80a0fd582ac403c4581c6699127cb25b1f651f,The role is idempotent and the full baseline-harden-rollback-reapply cycle completes unattended.,Does not prove idempotence under every possible starting state.,high,changed=0 could be produced by suppressing change reporting.,Weakened: no task uses changed_when false except a read-only sshd validator.
C-016,Service safety,The host acceptance suite passes 57 tests with zero failures.,service-results.xml,"testsuite element, tests and failures attributes",2026-08-19T10:21:58Z,ce4ca8b6a642623591f2be049e3acae432f9fabc7ae0d2babb30ac50096df599,All four declared service checks and every remediation are verified against live host state.,Does not prove the services behave correctly under load or over time.,high,Tests could pass by re-running the tool that made the change.,Weakened: the suite reads host state through testinfra and never invokes Ansible.
C-017,Risk analysis,"Exactly three treatments were selected under the USD 85,000 budget.",risk-model/output/treatment-selection.json,"selection object, selected_treatment_ids and total_cost",2026-08-19T10:47:47Z,fda322ed387fab4d0bb4f061c528f696eed3c884f76adc19e8067f98ee58a1bf,The portfolio produced by the documented optimiser from the submitted inputs.,Does not prove the underlying loss estimates are accurate.,high,A greedy selection by return per dollar could differ.,Retained: enumeration is exact and cannot be defeated by dependency constraints.
C-018,Risk analysis,The selection is unchanged at both edges of the 30 percent uncertainty band.,risk-model/output/sensitivity.json,selection_by_case and selection_stable_across_band,2026-08-19T10:47:47Z,727bb3d719a26b3a0a5d1d4ed1380332d165f5a5e32f1235a51fe186bd5bb198,The funding decision does not depend on the precision of the loss estimates.,"Does not address uneven error across findings, only uniform error.",high,Stability could be an artefact of a narrow band.,Retained: the band is the 30 percent required by the private overlay.
C-019,Risk analysis,Every risk parameter is derived from the supplied export by a stated rule.,risk-model/input/model-input.json,rationale field on each risk object,2026-08-19T10:45:23Z,114137362f7d9e7f72fe3e00d736be9058eaab62a0aa30a4cf2383e7cd29d83e,"Frequency, loss, control effectiveness and dependency values each trace to evidence in the export.","Does not prove the tiering thresholds are correct, only that they are applied consistently.",medium,Parameters could have been chosen to produce a desired outcome.,"Weakened: the tiers are applied mechanically to export fields, and the sensitivity test shows the ranking is robust."
C-020,Decision,"Nine risks are deferred with named owners, acceptance authorities and review triggers.",risk-register.csv,"decision, owner, acceptance_authority and review_trigger columns",2026-08-19T12:15:58Z,2a9712bf6260e3b72c85cf0e7a6244a317dc9a541e407fb3e531365b372564b8,Deferral is a recorded decision rather than an omission.,Does not prove the owners have accepted the risks.,high,Deferral could be a way of avoiding difficult remediations.,Retained: the deferred set includes both CVSS 9.8 findings and excludes none on cost grounds alone.
C-021,Remediation,Every remediation was designed with a precheck verified against the live host before implementation.,lab/remediations.yml,verify_precheck fields and the design_corrections section,2026-08-18T14:28:38Z,00b112b3b6c646e6c63a2258256e57456b3a6403e6523d15801723262a547fdc,"Four design entries were corrected after verification, before any task was written.",Does not prove the corrected designs are complete.,high,The design could have been written after the fact.,Weakened: the design_corrections section records what was wrong and why.
